"","avg_load","Max Load","Average Net Load","Max Net Load","Data Center Load Avg","Data Center Load Max","Mid Atlantic Load Average","Mid Atlantic Load Max","Generation Outages","DA_LMP","RT LMP","Solar Forecast","Wind Forecast","Henry (GASPRICE) Average","TETCO-M3 (GASPRICE) Average","is weekend?","Season","DA/L-AVG","DA/L-Max","DA/NL-Avg","DA/NL-max","DA/Dom-Avg","DA/Dom-max","DA/MidA-Avg","DA/Mid-Anax","Outage/L-Avg","Outage/L-Max","GasBlend","BlendHR","BlendHR/Load","GB/NLA","time","load_lag1","load_lag2","load_slide3","load_slide7","load_slide14","load_slide30","pred_load"
"41",90823.625,94759,84924.867224,86170.064,18464.5625,19548,29298.9375,31260,20859,27.695154,23.246956,NA,4504.033875,2.4,2,FALSE,1,0.000304933369483986,0.000292269378106565,0.000326113597881178,0.000321401107465813,0.00149990848686504,0.00141677685696746,0.000945261376799073,0.000885961420345489,0.229969847096502,0.220372175265674,2.2,12.5887063636364,0.000138606077038176,0.000148233453582354,2023-02-10,92098.25,92538.375,95010.5416666667,101038.5,100498.96875,99075.4770833333,96710.01875
"42",87971.9375,92869,85013.538343,86649.5,19510.9375,21120,28918.25,31489,20401,27.134106,22.462218,NA,1394.591688,2.37,2,TRUE,1,0.000308440472849652,0.000292176140585125,0.000319173940161429,0.00031314786582727,0.001390712568271,0.00128475880681818,0.000938303873851288,0.000861701101972117,0.232211938108104,0.219916896036352,2.185,12.4183551487414,0.000141162687803044,0.000146075029822164,2023-02-11,90823.625,92098.25,93259.7291666667,98929.7232142857,99878.2544642857,98804.8166666667,95632.3997519841
"43",88976.375,94565,86378.225749,88250.267,21455.625,22932,30498.375,33414,17226,29.920186,27.535697,NA,2016.626813,2.37,2,TRUE,1,0.00033627112815059,0.000316398096547348,0.000346385744098783,0.000339037909086439,0.00139451477176731,0.00130473512994942,0.000981041973547771,0.000895438618543126,0.193938224455649,0.182451601512187,2.185,13.6934489702517,0.000153899829817204,0.000158528944667635,2023-02-12,87971.9375,90823.625,91820.0833333333,95360.5178571429,99075.9285714286,98490.6979166667,93923.7983630952
"44",93220.875,102241,87945.213005,92716.988,20454.125,23464,31210.3125,34119,19445,26.824667,26.413849,NA,3365.229,2.37,1.93,FALSE,1,0.000287753864142554,0.000262367024970413,0.00030501565785593,0.000289317713815294,0.00131145512213307,0.00114322651721787,0.000859480884723599,0.00078620906239925,0.208878372649903,0.190446238289923,2.15,12.4765893023256,0.000133839006577932,0.000141867747839968,2023-02-13,88976.375,87971.9375,90297.9375,92588.9375,98747.5848214286,98235.95,92803.1203869048
"45",91501.125,100164,82378.931854,87053.121,19902.125,22912,30762.8125,33307,21188,24.094719,20.810534,NA,7241.230313,2.4,1.9,FALSE,1,0.00026332702466773,0.000240552683598898,0.000292486421682464,0.000276781793957738,0.00121066062041114,0.00105162006808659,0.000783241746833128,0.000723413066322395,0.23182332150561,0.211740850345433,2.15,11.2068460465116,0.000122477685891967,0.000136040196131379,2023-02-14,93220.875,88976.375,89257.3125,92128.8303571429,98699.6785714286,97979.34375,93377.0691964286
"46",87893.4375,92562,80259.076302,80117.713,18714.3125,20791,29612.875,31709,26751,25.083879,27.181159,NA,6296.558375,2.43,1.91,FALSE,1,0.000285389668597272,0.000270995430090102,0.000312536352967906,0.000313087806188377,0.00134035802811351,0.00120647775479775,0.000847059902154046,0.000791064965782585,0.304642583571726,0.289299941217778,2.17,11.5593912442396,0.000131515976312107,0.000144025969109634,2023-02-15,91501.125,93220.875,90056.3958333333,91538.8571428571,98188.0401785714,97884.575,93731.6446924603
"47",87926.625,92194,81890.23676,83294.829,18482.375,19672,29137.0625,31077,24697,27.132713,34.188974,NA,5203.608438,2.44,1.85,FALSE,1,0.000308583583186549,0.000294300203917825,0.000331330254661728,0.00032574306623524,0.00146803173293476,0.00137925543920293,0.00093120962348212,0.000873080187920327,0.281190512123034,0.268251610451873,2.145,12.6492834498835,0.00014386181034338,0.000154466319189617,2023-02-16,87893.4375,91501.125,91232.7916666667,91018.6517857143,97130.8258928571,97748.9125,92754.2907242064
"48",93043.1875,98367,88741.765349,92470.922,18694.5,20178,29412.8125,31856,25198,35.446807,41.292121,NA,3971.974375,2.49,2.23,FALSE,1,0.000380971546143558,0.000360352628422133,0.000399437704000999,0.000383329226456723,0.00189610885554575,0.00175670566954108,0.00120514850458452,0.00111271995856354,0.271201444028344,0.256582920298474,2.36,15.0198334745763,0.00016142862124727,0.000169253264407203,2023-02-17,87926.625,87893.4375,90871.8125,90355.0892857143,95696.7946428571,97323.5916666667,91677.891765873
"49",89886.8125,98023,81239.738947,85950.066,20019.6875,22617,29801.9375,32810,20562,24.336828,19.956342,NA,6342.712688,2.26,2.23,TRUE,1,0.000270749705358614,0.000248276710567928,0.000299568023179852,0.000283150777336227,0.00121564474969951,0.00107604138479905,0.000816618986601123,0.000741750320024383,0.229025106747444,0.209970683839507,2.245,10.8404579064588,0.000120601205059516,0.000133437872240468,2023-02-18,93043.1875,87926.625,89107.0625,89759.1428571429,94344.4330357143,97021.5229166667,91866.9956349206
"50",84896.3125,89024,77275.983693,78034.424,18877.5625,21106,28564.8125,30816,19283,21.913345,16.723461,NA,5915.255125,2.26,2.23,TRUE,1,0.000258118925954528,0.000246150981757728,0.000283572514418668,0.000280816386880744,0.00116081432653183,0.00103825191888562,0.000767144716948518,0.000711102836188993,0.227394014846051,0.216792364542146,2.245,9.76095545657016,0.000114975022696895,0.000126312924017224,2023-02-19,89886.8125,93043.1875,89621.0833333333,90076.2232142857,92718.3705357143,96980.8333333333,92054.4184027778
